"","Feature","Comparison","Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"1","Variable_1","B vs A","unique_group",1,0.00159814799027453,0.00159814799027453,0.0447633224618929,0.833194501887305
"2","Variable_1","B vs A","Timepoint_cos",1,0.0863534475635202,0.0863534475635202,2.41871669113572,0.125428474611938
"3","Variable_1","B vs A","Timepoint_sin",1,0.0237491971755932,0.0237491971755932,0.665203083726642,0.418124212689577
"4","Variable_1","B vs A","unique_group:Timepoint_cos",1,0.150118570764527,0.150118570764527,4.20474576293568,0.0449192364650942
"5","Variable_1","B vs A","unique_group:Timepoint_sin",1,0.0197802956210514,0.0197802956210514,0.554036144753148,0.459730936169962
"6","Variable_1","B vs A","Residuals",57,2.03502399812251,0.0357021754056581,NA,NA
"7","Variable_1","B vs C","unique_group",1,0.000978555167703633,0.000978555167703633,0.0374857934793422,0.847167628709797
"8","Variable_1","B vs C","Timepoint_cos",1,0.00346610092367641,0.00346610092367641,0.132776922233619,0.716918368547156
"9","Variable_1","B vs C","Timepoint_sin",1,0.00463198339549498,0.00463198339549498,0.177438716481086,0.675167888159734
"10","Variable_1","B vs C","unique_group:Timepoint_cos",1,0.000494657537087024,0.000494657537087024,0.0189489881513354,0.890997949878969
"11","Variable_1","B vs C","unique_group:Timepoint_sin",1,0.00277424891497794,0.00277424891497794,0.106273948898759,0.745620582658989
"12","Variable_1","B vs C","Residuals",57,1.48796755735864,0.026104693988748,NA,NA
"13","Variable_1","A vs C","unique_group",1,7.44213295586806e-05,7.44213295586806e-05,0.00294601709369537,0.956907471237394
"14","Variable_1","A vs C","Timepoint_cos",1,0.100785921938292,0.100785921938292,3.98967675792381,0.050647054788492
"15","Variable_1","A vs C","Timepoint_sin",1,0.0417473573220966,0.0417473573220966,1.65259649373141,0.203896784892855
"16","Variable_1","A vs C","unique_group:Timepoint_cos",1,0.134500599538289,0.134500599538289,5.32429436160021,0.0247498823992406
"17","Variable_1","A vs C","unique_group:Timepoint_sin",1,0.00736607545393992,0.00736607545393992,0.291590923320527,0.591343853050417
"18","Variable_1","A vs C","Residuals",56,1.4146538607006,0.0252616760839393,NA,NA
"19","Variable_2","B vs A","unique_group",1,0.0186687627507485,0.0186687627507485,0.157776408549497,0.69269552739851
"20","Variable_2","B vs A","Timepoint_cos",1,0.323766813910393,0.323766813910393,2.73626944582854,0.103590763736327
"21","Variable_2","B vs A","Timepoint_sin",1,0.454131594634192,0.454131594634192,3.83802895600922,0.0550003343479809
"22","Variable_2","B vs A","unique_group:Timepoint_cos",1,0.211778070286698,0.211778070286698,1.78981241475354,0.186262328437786
"23","Variable_2","B vs A","unique_group:Timepoint_sin",1,0.263973010494847,0.263973010494847,2.23093057134736,0.140787653393651
"24","Variable_2","B vs A","Residuals",57,6.74447774908523,0.118324171036583,NA,NA
"25","Variable_2","B vs C","unique_group",1,0.251958162046939,0.251958162046939,2.3162171260412,0.133559789836976
"26","Variable_2","B vs C","Timepoint_cos",1,0.0355072503644694,0.0355072503644694,0.326413324834047,0.570024718005277
"27","Variable_2","B vs C","Timepoint_sin",1,0.026215028698227,0.026215028698227,0.240991194479277,0.625375898140436
"28","Variable_2","B vs C","unique_group:Timepoint_cos",1,0.00355671981044289,0.00355671981044289,0.0326964416256661,0.857149033192245
"29","Variable_2","B vs C","unique_group:Timepoint_sin",1,0.11257857925818,0.11257857925818,1.03491957230028,0.313304725819503
"30","Variable_2","B vs C","Residuals",57,6.20046155224742,0.108780027232411,NA,NA
"31","Variable_2","A vs C","unique_group",1,0.131373886094579,0.131373886094579,1.77896879334536,0.1876755140209
"32","Variable_2","A vs C","Timepoint_cos",1,0.394925885251317,0.394925885251317,5.34779663167301,0.0244479330981221
"33","Variable_2","A vs C","Timepoint_sin",1,0.123137569113504,0.123137569113504,1.66743863071559,0.201906833155357
"34","Variable_2","A vs C","unique_group:Timepoint_cos",1,0.162015926886813,0.162015926886813,2.19390083162393,0.144163084371339
"35","Variable_2","A vs C","unique_group:Timepoint_sin",1,0.7070842267752,0.7070842267752,9.57481590210583,0.00307653466788188
"36","Variable_2","A vs C","Residuals",56,4.13550684464884,0.0738483365115864,NA,NA
"37","Variable_3","B vs A","unique_group",1,0.0699142943088976,0.0699142943088976,0.177354998512354,0.675240034599929
"38","Variable_3","B vs A","Timepoint_cos",1,7.20525503305486,7.20525503305486,18.2779216796864,7.3501850873681e-05
"39","Variable_3","B vs A","Timepoint_sin",1,1.25618407791457,1.25618407791457,3.18662338613389,0.0795643172811823
"40","Variable_3","B vs A","unique_group:Timepoint_cos",1,10.4031577735121,10.4031577735121,26.3901974507982,3.53099730417541e-06
"41","Variable_3","B vs A","unique_group:Timepoint_sin",1,0.706914116180281,0.706914116180281,1.79326349872862,0.185844893259636
"42","Variable_3","B vs A","Residuals",57,22.4697065717579,0.394205378451893,NA,NA
"43","Variable_3","B vs C","unique_group",1,23.5096943066183,23.5096943066183,63.2670039023182,8.19288394850635e-11
"44","Variable_3","B vs C","Timepoint_cos",1,7.88832236632855,7.88832236632855,21.2282863156054,2.33845761352694e-05
"45","Variable_3","B vs C","Timepoint_sin",1,2.45948634999399,2.45948634999399,6.61873057443215,0.0127199577293222
"46","Variable_3","B vs C","unique_group:Timepoint_cos",1,9.42493405443731,9.42493405443731,25.3634663141201,5.08878847877975e-06
"47","Variable_3","B vs C","unique_group:Timepoint_sin",1,0.184076870681464,0.184076870681464,0.495369779965711,0.484407095180301
"48","Variable_3","B vs C","Residuals",57,21.1809077848263,0.371594873418005,NA,NA
"49","Variable_3","A vs C","unique_group",1,20.6871324612052,20.6871324612052,51.3809792415819,1.82577489781209e-09
"50","Variable_3","A vs C","Timepoint_cos",1,0.201843655508998,0.201843655508998,0.501322486004358,0.481856348845926
"51","Variable_3","A vs C","Timepoint_sin",1,0.469599364583623,0.469599364583623,1.16635184933337,0.28478155322204
"52","Variable_3","A vs C","unique_group:Timepoint_cos",1,0.0357950454845038,0.0357950454845038,0.088904757217551,0.766677693472301
"53","Variable_3","A vs C","unique_group:Timepoint_sin",1,0.15923428965783,0.15923428965783,0.395492886546749,0.531983132942682
"54","Variable_3","A vs C","Residuals",56,22.5468536202975,0.402622386076742,NA,NA
"55","Variable_4","B vs A","unique_group",1,24.9519438434441,24.9519438434441,2.37608188496569,0.128740044474845
"56","Variable_4","B vs A","Timepoint_cos",1,20.8610503664573,20.8610503664573,1.98652113791606,0.164137880364743
"57","Variable_4","B vs A","Timepoint_sin",1,10.6563672231652,10.6563672231652,1.01476667619055,0.318020906175643
"58","Variable_4","B vs A","unique_group:Timepoint_cos",1,13.7526910514937,13.7526910514937,1.30961821179193,0.257246711776566
"59","Variable_4","B vs A","unique_group:Timepoint_sin",1,36.1660119002383,36.1660119002383,3.44395636134731,0.0686559971678272
"60","Variable_4","B vs A","Residuals",57,598.573983529548,10.5012979566587,NA,NA
"61","Variable_4","B vs C","unique_group",1,54.3215557278314,54.3215557278314,5.83783189016466,0.0189112566175584
"62","Variable_4","B vs C","Timepoint_cos",1,0.733795240280997,0.733795240280997,0.0788595465863779,0.779865721106111
"63","Variable_4","B vs C","Timepoint_sin",1,6.94358520967743,6.94358520967743,0.74621359101397,0.391298262260579
"64","Variable_4","B vs C","unique_group:Timepoint_cos",1,3.43189607280981,3.43189607280981,0.368819192844199,0.546060426591321
"65","Variable_4","B vs C","unique_group:Timepoint_sin",1,0.00229578657859981,0.00229578657859981,0.000246723716248342,0.987522641991296
"66","Variable_4","B vs C","Residuals",57,530.390174767272,9.30509078539074,NA,NA
"67","Variable_4","A vs C","unique_group",1,5.55306900460928,5.55306900460928,0.950670484534376,0.333741831820093
"68","Variable_4","A vs C","Timepoint_cos",1,7.13600777325779,7.13600777325779,1.22166534610196,0.273760231083923
"69","Variable_4","A vs C","Timepoint_sin",1,11.4507344701237,11.4507344701237,1.96033495675117,0.166993618237942
"70","Variable_4","A vs C","unique_group:Timepoint_cos",1,31.1245335616417,31.1245335616417,5.32843646952561,0.0246963779119709
"71","Variable_4","A vs C","unique_group:Timepoint_sin",1,34.4768936662833,34.4768936662833,5.90235150684426,0.0183533504055666
"72","Variable_4","A vs C","Residuals",56,327.107940466279,5.84121322261213,NA,NA
"73","Variable_5","B vs A","unique_group",1,22.6707175940608,22.6707175940608,2.10325753406711,0.152466412044102
"74","Variable_5","B vs A","Timepoint_cos",1,22.6813949339475,22.6813949339475,2.10424811566063,0.152371584955075
"75","Variable_5","B vs A","Timepoint_sin",1,7.28425272614923,7.28425272614923,0.675790669737597,0.414465544012453
"76","Variable_5","B vs A","unique_group:Timepoint_cos",1,21.981898543352,21.981898543352,2.03935290237641,0.158731322704582
"77","Variable_5","B vs A","unique_group:Timepoint_sin",1,43.4977881166559,43.4977881166559,4.03547219853239,0.0492982356101204
"78","Variable_5","B vs A","Residuals",57,614.394995349263,10.7788595675309,NA,NA
"79","Variable_5","B vs C","unique_group",1,47.0757840799112,47.0757840799112,5.1509974647819,0.027034059453582
"80","Variable_5","B vs C","Timepoint_cos",1,0.124572511109878,0.124572511109878,0.0136306320000801,0.907468324147072
"81","Variable_5","B vs C","Timepoint_sin",1,5.78213002117664,5.78213002117664,0.632676388980846,0.429675209994804
"82","Variable_5","B vs C","unique_group:Timepoint_cos",1,0.333543012644164,0.333543012644164,0.0364960296701456,0.849173618126618
"83","Variable_5","B vs C","unique_group:Timepoint_sin",1,2.0495826779428,2.0495826779428,0.224263820227042,0.637618934829109
"84","Variable_5","B vs C","Residuals",57,520.93205459742,9.13915885258632,NA,NA
"85","Variable_5","A vs C","unique_group",1,4.34027434355855,4.34027434355855,0.632364011461631,0.429847177708457
"86","Variable_5","A vs C","Timepoint_cos",1,17.3231294885839,17.3231294885839,2.52392424703012,0.117761802219404
"87","Variable_5","A vs C","Timepoint_sin",1,17.6430209923174,17.6430209923174,2.57053141020026,0.114497126801208
"88","Variable_5","A vs C","unique_group:Timepoint_cos",1,28.2951581136532,28.2951581136532,4.12251352641932,0.0470756126656872
"89","Variable_5","A vs C","unique_group:Timepoint_sin",1,25.6226296708526,25.6226296708526,3.73313472843093,0.0584080092665501
"90","Variable_5","A vs C","Residuals",56,384.359892141057,6.86356950251888,NA,NA
"91","Variable_6","B vs A","unique_group",1,0.333344003824321,0.333344003824321,6.73112192854729,0.0120235408831013
"92","Variable_6","B vs A","Timepoint_cos",1,0.41301953138696,0.41301953138696,8.33998749862695,0.00547238267248173
"93","Variable_6","B vs A","Timepoint_sin",1,0.474838288038636,0.474838288038636,9.58827630454446,0.00303581740528496
"94","Variable_6","B vs A","unique_group:Timepoint_cos",1,0.0481109710423741,0.0481109710423741,0.971491337692394,0.328474020878086
"95","Variable_6","B vs A","unique_group:Timepoint_sin",1,0.0300226762374359,0.0300226762374359,0.606239476507829,0.43942765335204
"96","Variable_6","B vs A","Residuals",57,2.82279958967955,0.0495227998189394,NA,NA
"97","Variable_6","B vs C","unique_group",1,0.207557920769546,0.207557920769546,5.32911983215561,0.0246208643979649
"98","Variable_6","B vs C","Timepoint_cos",1,0.193803671743771,0.193803671743771,4.97597483538602,0.0296533839420766
"99","Variable_6","B vs C","Timepoint_sin",1,0.0859296419773347,0.0859296419773347,2.20627262758086,0.142960424249131
