"","unique_group","p.val","r.sq","avg","acro","amplitude","q.val"
"Variable_1.1","B",0.953279769090724,0.00329434457458316,0.593917483007815,12.787073592167,0.0147569344327833,0.997164476085447
"Variable_1.2","A",0.0309010625008664,0.219916740604677,0.580941757829723,22.4749874814279,0.13583197041125,0.203583470593943
"Variable_1.3","C",0.777155036376936,0.0178470645790712,0.586853501782754,16.8629490504859,0.0229477734018824,0.956116317217563
"Variable_2.1","B",0.92978248099348,0.00500842350774986,0.721668574504856,8.55061502902881,0.0372254362930346,0.991767979726378
"Variable_2.2","A",0.00268495507981541,0.344832049307181,0.69319532822678,8.79842757165545,0.283943670816811,0.0501191614898877
"Variable_2.3","C",0.312234641184364,0.0797803430754868,0.598165624434965,16.2450557750439,0.101852049633323,0.643624781827892
"Variable_3.1","B",2.78401947534297e-07,0.646891288315603,4.95146014653486,1.24383731675704,1.09917381312722,2.33857635928809e-05
"Variable_3.2","A",0.755935356806472,0.0197872826790997,4.87692890319856,10.3162656396108,0.126642382549234,0.945049550399083
"Variable_3.3","C",0.448866025554267,0.0556104009599481,3.71257167859243,6.88316223407906,0.202928113834166,0.761712043364816
"Variable_4.1","B",0.860378317094779,0.010317651156606,2.81187756081465,16.6305135151821,0.511111637126468,0.964973090602404
"Variable_4.2","A",0.00986126882921297,0.281032125049033,1.60056717882265,8.85546484327157,2.2500129528745,0.114410984345813
"Variable_4.3","C",0.481800495308128,0.0508220075487775,0.971658303229472,21.0614817186829,0.663281313409916,0.770880792493005
"Variable_5.1","B",0.752800306589062,0.0193926192228144,-2.37091042418722,17.7586963444389,0.681249410035781,0.945049550399083
"Variable_5.2","A",0.0123859301193973,0.269230158224649,-3.52013189064613,9.10386800430162,2.40625246430427,0.122402132944632
"Variable_5.3","C",0.920408105341228,0.00590663785609973,-4.09405322475795,21.0005855384093,0.234304277997724,0.987175860503976
"Variable_6.1","B",0.00358840454136628,0.321777005262462,-1.09436566404204,3.00453768063672,0.215939056000574,0.0602851962949535
"Variable_6.2","A",0.10347511144231,0.149584561272385,-1.24222107215925,3.39686077544529,0.117871235599062,0.385409328216588
"Variable_6.3","C",0.380873932206192,0.0666257753969995,-1.20901992981728,18.1436169426837,0.0554031773973541,0.70703669183028
"Variable_7.1","B",0.467570130670354,0.0510773543516848,0.69139191744447,3.44864666771863,0.189507766700508,0.770880792493005
"Variable_7.2","A",0.0155628577169064,0.257214316066408,0.509996534958179,21.9868535452576,0.294973629110648,0.130728004822014
"Variable_7.3","C",0.578055089417045,0.0383925882075997,0.481840695641927,20.1247607411397,0.0654548940363768,0.826218978426
"Variable_8.1","B",0.0951646121229802,0.149743357985979,7.14335506542444,14.7901603119515,0.183797008104841,0.363355791742288
"Variable_8.2","A",0.260761731850435,0.0915456001925318,6.98581948587941,19.8300375183764,0.0872748309125351,0.587068965985614
"Variable_8.3","C",0.59826768288952,0.0360290031380678,7.07605616898262,16.0953755419396,0.0311162987998909,0.835237994488199
"Variable_9.1","B",0.000499246578527109,0.40803286935649,1.9148492086871,5.95408735934748,0.200488606062879,0.013978904198759
"Variable_9.2","A",0.237318808409909,0.0976378538092348,1.89976166575604,6.73404545552783,0.113162733097734,0.582141350168147
"Variable_9.3","C",0.377539408227026,0.0672118488623511,1.84406348639065,9.7288270845645,0.069837816866725,0.704740228690448
"Variable_10.1","B",0.973297846223825,0.00186481991462159,9.54576312577118,3.59604478898526,0.0319763232103963,0.997700160542208
"Variable_10.2","A",0.0453719926865047,0.198218049611619,9.48185828304112,21.8268788332704,0.298913357701796,0.255283859968983
"Variable_10.3","C",0.357899374580485,0.0707645248216416,9.38225338411774,12.6085481191974,0.117117347020765,0.695110924040712
"Variable_11.1","B",0.133942143351005,0.12946267585707,-0.715505109482946,11.4550214778743,0.176336524762082,0.425461129452645
"Variable_11.2","A",0.365968146745464,0.0692835763939329,-0.719417586710942,11.9553328432221,0.257588447902324,0.695313150804534
"Variable_11.3","C",0.019906121386656,0.244039599751974,-1.14093575906088,8.1466974089099,0.278982778979514,0.155545506649219
"Variable_12.1","B",0.371290253743777,0.0660468905330261,9.65726335874802,9.95117490449076,0.0510717831926134,0.700862501448926
"Variable_12.2","A",0.120818933760952,0.140119274529548,9.61921215357762,21.5134035612254,0.0706082352450109,0.401932294491878
"Variable_12.3","C",0.875942835219444,0.00941641716138329,9.68099803088369,17.6265826621309,0.0125214212733593,0.964973090602404
"Variable_13.1","B",0.657811570515225,0.0284721013540835,1.02385178906837,5.49420661248608,0.17437909850169,0.8770820940203
"Variable_13.2","A",0.397160900716104,0.0638299370106896,1.26167093635789,22.076613627862,0.344748718510613,0.725250340438103
"Variable_13.3","C",0.113836213102343,0.143767989572288,1.14312422108128,22.6066267719099,0.284792663594084,0.400972286999299
"Variable_14.1","B",0.134222856315418,0.12933697412038,5.44426792547142,4.97474224000106,0.08346544061936,0.425461129452645
"Variable_14.2","A",0.204051940926994,0.107320078765394,5.48500707519839,21.2143502167496,0.0710271710099284,0.544777635424726
"Variable_14.3","C",0.0859223218120427,0.160801469739661,5.40079648146895,16.7427073017743,0.0684620124654987,0.348840264388263
"Variable_15.1","B",0.278209044919833,0.08445272249498,4.25778052996339,23.3572396372493,0.0579326621687753,0.592320820711341
"Variable_15.2","A",0.0211321332245022,0.240805425641036,4.29453599848791,0.526419045453128,0.105313546070892,0.159596058783584
"Variable_15.3","C",0.965218853285054,0.00252540666646298,4.27195204128344,20.218764515175,0.00786028633737413,0.997164476085447
