Name	CC10.fastq	CC101.fastq	CC102.fastq	CC103.fastq	CC117.fastq	CC118.fastq	CC122.fastq	CC123.fastq	CC13.fastq	CC14.fastq	CC15.fastq	CC16.fastq	CC17.fastq	CC18.fastq	CC19.fastq	CC20.fastq	CC6.fastq	CC67.fastq	CC68.fastq	CC69.fastq	CC7.fastq	CC70.fastq	CC71.fastq	CC78.fastq	CC79.fastq	CC8.fastq	CC80.fastq	CC81.fastq	CC82.fastq	CC83.fastq	CC9.fastq
Species_1	3	0	0	0	4	1	0	2	4	0	1	0	1	1	0	0	10	6	2	1	4	0	0	2	1	3	1	0	0	1	3
Species_2	4	1	1	1	1	8	1	6	7	2	4	0	0	0	6	0	13	4	4	1	11	0	2	6	0	9	2	1	4	2	6
Species_3	5	3	1	0	3	5	2	2	12	3	1	4	1	0	3	0	12	6	5	1	6	1	1	0	3	9	1	1	3	2	5
Species_4	41	11	16	3	16	21	5	19	14	18	5	16	6	6	7	6	62	8	26	15	37	6	5	16	2	74	14	11	14	30	13
Species_5	13	4	6	1	3	4	1	4	13	6	8	6	1	1	4	3	18	1	12	3	9	1	1	3	1	25	3	6	8	4	7
Species_6	4	1	3	0	0	1	2	3	3	5	0	0	0	3	2	1	15	6	4	0	8	1	0	2	0	13	2	0	4	4	6
Species_7	2	0	1	0	4	2	0	0	2	1	0	1	1	1	0	0	3	2	0	0	3	1	0	2	0	4	2	0	0	0	0
Species_8	15	3	6	2	5	2	1	4	7	6	3	9	1	4	6	4	19	3	6	2	22	2	3	6	3	27	6	0	6	12	3
Species_9	9	1	4	0	1	0	1	2	5	1	0	3	0	2	1	0	12	1	5	1	9	2	2	3	0	21	5	1	5	3	7
Species_10	9	2	3	1	6	3	0	4	9	3	1	3	0	6	2	2	23	11	7	3	11	2	0	1	1	19	4	1	1	9	5
Species_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	0	1	0	0	0
Species_12	23	3	6	3	7	4	2	10	18	15	0	12	2	1	10	3	30	5	9	5	23	4	3	5	2	45	11	5	7	18	13
Species_13	14	3	6	1	4	1	3	3	9	1	0	6	2	2	2	1	9	3	3	1	6	2	0	1	0	18	4	0	3	6	5
Species_14	11	1	6	0	3	2	2	3	7	3	2	1	1	1	1	1	18	4	7	2	12	4	0	3	1	10	2	2	2	2	4
Species_15	21	1	7	0	3	7	2	4	10	3	1	6	6	1	1	6	26	9	4	3	19	3	1	9	1	21	3	2	6	4	9
Species_16	18	5	2	4	2	3	2	5	17	3	2	5	1	2	5	2	11	2	5	1	12	1	3	4	2	22	5	1	5	5	12
Species_17	12	0	8	3	2	2	0	1	5	2	6	3	1	3	5	1	13	4	5	2	10	1	2	4	0	10	2	0	1	5	8
Species_18	7	2	0	1	2	1	0	1	0	1	1	1	2	2	0	2	7	2	0	4	6	0	0	5	1	11	2	1	3	3	4
Species_19	6	0	4	0	3	1	1	8	3	1	2	2	5	0	1	0	15	1	5	4	10	1	0	4	1	23	5	2	5	7	5
Species_20	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	4	0	2	1	2	1	0	1	0	4	2	0	1	1	2
Species_21	7	2	1	2	4	1	0	2	3	2	0	3	0	0	3	1	5	3	0	2	5	0	1	3	0	14	2	1	3	4	4
Species_22	16	2	6	1	3	5	1	7	8	3	3	2	1	0	6	1	17	6	5	4	9	1	3	2	2	16	3	4	3	5	4
Species_23	2	1	0	0	0	1	1	0	3	0	0	0	0	1	1	0	5	0	2	1	2	0	0	1	0	2	0	0	1	1	0
Species_24	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0
Species_25	3	1	0	0	2	2	0	2	1	0	0	0	2	0	1	0	3	1	2	0	1	0	0	1	0	1	0	0	1	0	0
Species_26	1	0	0	0	1	0	1	1	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	2	0	0
Species_27	2	1	1	0	1	0	0	1	2	1	1	0	0	0	1	0	4	0	2	1	3	1	0	1	1	3	0	1	2	0	4
Species_28	3	2	1	0	0	3	0	0	1	2	0	1	0	0	1	0	2	0	0	0	2	0	0	2	0	1	0	0	0	1	2
Species_29	14	2	2	2	6	2	2	7	5	3	0	1	4	2	1	4	10	2	3	1	12	2	2	2	3	24	3	2	10	6	4
